short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country
A. Christensen,Andreas Bødtker Christensen,213661,82,86,26,188,81,37.5,145.0,68.0,32.0,66.0,70.0,84.0,74.0,CB,Right,Denmark,La Liga,2,3,2,FC Barcelona,84.0,10.0,Balanced,Possession,81,23.0,Spain
G. Rulli,Gerónimo Rulli,215316,82,82,30,189,84,20.5,18.0,54.0,80.0,80.0,79.0,81.0,82.0,GK,Right,Argentina,Eredivisie,1,3,3,Ajax,78.0,10.0,Balanced,Possession,83,25.5,Netherlands
G. Di Lorenzo,Giovanni Di Lorenzo,217870,82,82,28,183,83,27.5,66.0,85.0,66.0,73.0,77.0,78.0,80.0,RB,Right,Italy,Serie A,3,3,2,Napoli,80.0,9.0,Balanced,Forward Runs,64,0.5,Italy
Angeliño,José Ángel Esmoris Tasende,220651,82,84,25,171,69,35.0,59.0,78.0,71.0,82.0,84.0,75.0,70.0,"LWB, LM",Left,Spain,Bundesliga,4,3,2,TSG Hoffenheim,76.0,5.0,Balanced,Balanced,68,1.3,Germany
M. Locatelli,Manuel Locatelli,222077,82,86,24,185,75,40.0,37.0,62.0,70.0,80.0,78.0,78.0,79.0,"CDM, CM",Right,Italy,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,74,8.5,Italy
R. Gosens,Robin Everardus Gosens,223697,82,82,27,183,76,29.5,59.0,82.0,75.0,74.0,79.0,77.0,80.0,"LWB, LM",Left,Germany,Serie A,3,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,2.0,Italy
David Soria,David Soria Solís,223952,82,82,29,192,85,21.0,32.0,43.0,73.0,73.0,81.0,81.0,82.0,GK,Right,Spain,La Liga,1,3,1,Getafe,77.0,5.0,Pressure On Heavy Touch,Forward Runs,73,4.4,Spain
Borja Iglesias,Borja Iglesias Quintás,224179,82,82,29,187,86,30.5,39.0,68.0,83.0,66.0,74.0,40.0,81.0,ST,Right,Spain,La Liga,3,3,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,70,2.5,Spain
G. Rodríguez,Guido Rodríguez,225659,82,83,27,185,80,31.0,32.0,55.0,58.0,71.0,68.0,84.0,78.0,CDM,Right,Argentina,La Liga,2,4,1,Real Betis,79.0,6.0,Press After Possession Loss,Possession,73,4.4,Spain
A. Onana,André Onana,226753,82,85,26,190,93,30.5,59.0,61.0,86.0,86.0,80.0,80.0,81.0,GK,Right,Cameroon,Serie A,1,3,3,Inter,83.0,9.0,Balanced,Forward Runs,78,11.0,Italy
A. Onana,André Onana,226753,82,85,26,190,93,30.5,59.0,61.0,86.0,86.0,80.0,80.0,81.0,GK,Right,Cameroon,Serie A,1,3,3,Inter,83.0,9.0,Balanced,Forward Runs,78,11.0,Italy
I. Bennacer,Ismaël Bennacer,226754,82,86,24,175,70,40.0,63.0,77.0,68.0,80.0,86.0,77.0,76.0,"CDM, CM",Left,Algeria,Serie A,4,3,2,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,62,0.52,Italy
Álex Remiro,Alejandro Remiro Gargallo,227127,82,84,27,192,79,28.0,34.0,42.0,79.0,79.0,76.0,85.0,83.0,GK,Right,Spain,La Liga,1,4,1,Real Sociedad,78.0,7.0,Balanced,Possession,72,3.8,Spain
C. Pulisic,Christian Pulisic,227796,82,88,23,177,69,48.0,120.0,87.0,71.0,73.0,86.0,37.0,58.0,"LW, RW, LM",Right,United States,Premier League,4,4,3,Chelsea,84.0,9.0,Balanced,Possession,78,16.5,England
C. Pulisic,Christian Pulisic,227796,82,88,23,177,69,48.0,120.0,87.0,71.0,73.0,86.0,37.0,58.0,"LW, RW, LM",Right,United States,Premier League,4,4,3,Chelsea,84.0,9.0,Balanced,Possession,78,16.5,England
André Silva,André Miguel Valente da Silva,228941,82,83,26,185,84,36.5,73.0,73.0,83.0,70.0,82.0,47.0,78.0,ST,Right,Portugal,Bundesliga,4,3,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,78,15.5,Germany
B. Chilwell,Ben Chilwell,229984,82,85,25,180,77,37.0,110.0,76.0,60.0,78.0,78.0,78.0,75.0,"LWB, LB",Left,England,Premier League,3,3,2,Chelsea,84.0,9.0,Balanced,Possession,70,2.8,England
Lucas Mantela,Lucas Luciano Mantela Patrício,230182,82,82,22,183,77,27.0,33.0,35.0,85.0,85.0,87.0,77.0,79.0,GK,Right,Brazil,Serie A,1,3,1,Palmeiras,76.0,8.0,Pressure On Heavy Touch,Balanced,0,0.0,Italy
Josué Chiamulera,Josué Durval Chiamulera Vaz,230375,82,82,30,185,80,25.0,23.0,78.0,43.0,56.0,64.0,85.0,79.0,CB,Right,Brazil,Serie A,2,3,1,Athletico PR,74.0,5.0,Balanced,Possession,0,0.0,Italy
T. Abraham,Tammy Bakumo-Abraham,231352,82,86,24,195,86,44.0,77.0,83.0,80.0,66.0,78.0,36.0,80.0,ST,Right,England,Serie A,3,3,2,Roma,80.0,8.0,Balanced,Possession,73,7.5,Italy
D. Dumfries,Denzel Justus Morris Dumfries,233096,82,84,26,188,80,34.5,73.0,83.0,63.0,70.0,73.0,78.0,89.0,"RWB, RM",Right,Netherlands,Serie A,2,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,2.2,Italy
Lucas Paquetá,Lucas Tolentino Coelho de Lima,233927,82,87,24,180,72,46.0,77.0,72.0,77.0,79.0,85.0,69.0,77.0,"CAM, CM",Left,Brazil,Premier League,5,4,2,West Ham United,79.0,6.0,Balanced,Forward Runs,0,0.0,England
A. Ramsdale,Aaron Ramsdale,233934,82,86,24,191,77,34.5,62.0,48.0,85.0,85.0,77.0,78.0,83.0,GK,Right,England,Premier League,1,3,1,Arsenal,80.0,7.0,Balanced,Possession,61,0.45,England
A. Danjuma,Arnaut Danjuma Adam Groeneveld,236276,82,83,25,178,74,37.0,47.0,86.0,82.0,76.0,83.0,44.0,70.0,"ST, LM",Right,Netherlands,La Liga,4,4,1,Villarreal,80.0,8.0,Balanced,Balanced,0,0.0,Spain
N. Mazraoui,Noussair Mazraoui,236401,82,85,24,183,65,38.5,59.0,81.0,66.0,77.0,82.0,76.0,74.0,RB,Right,Morocco,Bundesliga,3,3,2,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,0,0.0,Germany
L. Martínez,Lisandro Martínez,239301,82,87,24,178,77,41.5,105.0,74.0,60.0,77.0,77.0,83.0,84.0,CB,Left,Argentina,Premier League,3,3,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,60,0.4,England
Pedro Gonçalves,Pedro António Pereira Gonçalves,240950,82,87,24,173,77,46.0,20.0,76.0,81.0,80.0,84.0,58.0,65.0,"LW, RW, CM",Right,Portugal,Liga Portugal,4,4,1,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,0,0.0,Portugal
Ferran Torres,Ferran Torres García,241461,82,88,22,184,77,49.0,150.0,84.0,79.0,79.0,83.0,35.0,67.0,"LW, ST",Right,Spain,La Liga,4,4,1,FC Barcelona,84.0,10.0,Balanced,Possession,0,0.0,Spain
M. Taremi,Mehdi Taremi,241788,82,82,29,185,83,30.5,24.0,78.0,80.0,76.0,81.0,38.0,73.0,"ST, CF",Right,Iran,Liga Portugal,4,4,1,Porto,78.0,10.0,Press After Possession Loss,Balanced,0,0.0,Portugal
Pedro Porro,Pedro Antonio Porro Sauceda,243576,82,88,22,173,69,46.0,16.0,82.0,73.0,76.0,81.0,75.0,78.0,"RWB, RM",Right,Spain,Liga Portugal,3,3,1,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,0,0.0,Portugal
Dani Olmo,Daniel Olmo Carvajal,244260,82,87,24,179,72,46.0,59.0,67.0,76.0,81.0,86.0,50.0,59.0,"CAM, CF",Right,Spain,Bundesliga,4,4,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany
J. Gvardiol,Joško Gvardiol,251517,82,89,20,185,80,56.0,44.0,81.0,54.0,69.0,74.0,82.0,83.0,"CB, LB",Left,Croatia,Bundesliga,3,4,1,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany
D. Núñez,Darwin Gabriel Núñez Ribeiro,253072,82,89,23,187,80,61.5,120.0,90.0,82.0,69.0,77.0,42.0,86.0,"ST, LW",Right,Uruguay,Premier League,3,3,1,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,0,0.0,England
Antony,Antony Matheus dos Santos,255475,82,88,22,172,63,49.0,130.0,90.0,75.0,75.0,86.0,46.0,70.0,"RW, RM",Left,Brazil,Premier League,5,2,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,0,0.0,England
F. Wirtz,Florian Richard Wirtz,256630,82,91,19,176,72,66.0,38.0,78.0,73.0,80.0,86.0,51.0,60.0,"CAM, CM",Right,Germany,Bundesliga,4,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,0,0.0,Germany
Pepe,Kléper Laveran de Lima Ferreira,120533,81,81,39,188,79,4.6,12.0,77.0,51.0,60.0,61.0,81.0,87.0,CB,Right,Portugal,Liga Portugal,2,3,4,Porto,78.0,10.0,Press After Possession Loss,Balanced,86,13.5,Portugal
Ł. Fabiański,Łukasz Fabiański,164835,81,81,37,190,83,2.9,39.0,49.0,71.0,71.0,82.0,82.0,81.0,GK,Right,Poland,Premier League,1,2,2,West Ham United,79.0,6.0,Balanced,Forward Runs,80,8.5,England
C. Vela,Carlos Alberto Vela Garrido,169416,81,81,33,177,77,16.0,14.0,77.0,79.0,76.0,83.0,30.0,64.0,"RW, LW, CAM",Left,Mexico,Major League Soccer,4,2,3,Los Angeles FC,73.0,8.0,Press After Possession Loss,Balanced,82,22.5,Unknown
J. Vertonghen,Jan Bert Lieve Vertonghen,172871,81,81,35,189,89,7.0,21.0,68.0,62.0,72.0,67.0,83.0,78.0,CB,Left,Belgium,Jupiler Pro League,3,3,3,Anderlecht,72.0,9.0,Pressure On Heavy Touch,Balanced,85,28.5,Unknown
S. Mignolet,Simon Luc Hildebert Mignolet,173426,81,81,34,193,87,4.4,26.0,51.0,74.0,74.0,77.0,83.0,80.0,GK,Right,Belgium,Jupiler Pro League,1,3,3,Club Brugge,75.0,10.0,Pressure On Heavy Touch,Balanced,81,12.0,Unknown
Rui Patrício,Rui Pedro dos Santos Patrício,178005,81,81,34,190,84,4.4,55.0,55.0,77.0,77.0,79.0,79.0,80.0,GK,Left,Portugal,Serie A,1,2,3,Roma,80.0,8.0,Balanced,Possession,83,17.5,Italy
Adán,Antonio Adán Garrido,178086,81,81,35,190,94,2.9,9.0,55.0,78.0,78.0,82.0,83.0,79.0,GK,Left,Spain,Liga Portugal,1,3,2,Sporting CP,78.0,9.0,Pressure On Heavy Touch,Direct Passing,81,11.5,Portugal
E. Cavani,Edinson Roberto Cavani Gómez,179813,81,81,35,185,77,11.0,37.0,61.0,83.0,68.0,72.0,51.0,73.0,ST,Right,Uruguay,La Liga,3,4,4,Valencia,76.0,7.0,Balanced,Balanced,87,48.5,Spain
Rafael Tolói,Rafael Tolói,187598,81,81,31,185,75,17.5,55.0,67.0,52.0,59.0,65.0,83.0,82.0,CB,Right,Italy,Serie A,2,3,2,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,77,9.0,Italy
Coutinho,Philippe Coutinho Correia,189242,81,81,30,172,68,25.0,95.0,62.0,77.0,81.0,86.0,52.0,57.0,"CAM, LW, CM",Right,Brazil,Premier League,5,4,4,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,86,56.0,England
L. Hrádecký,Lukáš Hrádecký,190941,81,81,32,192,85,13.0,46.0,40.0,65.0,65.0,77.0,79.0,83.0,GK,Right,Finland,Bundesliga,1,3,3,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,81,14.5,Germany
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,192366,81,81,34,182,78,8.5,18.0,64.0,57.0,64.0,59.0,83.0,84.0,CB,Right,Argentina,Liga Portugal,2,3,3,Benfica,79.0,10.0,Press After Possession Loss,Balanced,83,20.0,Portugal
H. Mkhitaryan,Henrikh Mkhitaryan,192883,81,81,33,177,75,16.0,74.0,82.0,79.0,78.0,83.0,56.0,72.0,"CAM, CM",Right,Armenia,Serie A,4,5,3,Inter,83.0,9.0,Balanced,Forward Runs,85,39.0,Italy
A. Areola,Alphonse Areola,193105,81,82,29,195,94,20.0,64.0,55.0,77.0,77.0,79.0,78.0,85.0,GK,Right,France,Premier League,1,3,2,West Ham United,79.0,6.0,Balanced,Forward Runs,79,13.0,England
Neto,Norberto Murara Neto,194404,81,81,32,190,84,13.0,47.0,54.0,77.0,77.0,78.0,78.0,82.0,GK,Right,Brazil,Premier League,1,2,2,AFC Bournemouth,74.0,2.0,Balanced,Possession,80,10.0,England
Marc Bartra,Marc Bartra Aregall,198141,81,81,31,184,73,17.5,44.0,71.0,61.0,73.0,73.0,81.0,76.0,CB,Right,Spain,Super Lig,3,3,3,Trabzonspor,76.0,6.0,Balanced,Possession,81,18.0,Turkey
Pablo Sarabia,Pablo Sarabia García,198950,81,81,30,174,70,25.0,95.0,73.0,76.0,82.0,82.0,57.0,59.0,"RW, CAM, LW",Left,Spain,Ligue 1,4,4,2,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,80,18.5,France
Danilo,Danilo Luiz da Silva,199304,81,81,30,184,78,22.0,100.0,73.0,67.0,73.0,74.0,82.0,78.0,"RB, CB",Right,Brazil,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,10.5,Italy
Danilo,Danilo Luiz da Silva,199304,81,81,30,184,78,22.0,100.0,73.0,67.0,73.0,74.0,82.0,78.0,"RB, CB",Right,Brazil,Serie A,3,4,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,10.5,Italy
G. Xhaka,Granit Xhaka,199503,81,81,29,185,82,22.0,90.0,49.0,72.0,80.0,71.0,72.0,81.0,"CDM, CM",Left,Switzerland,Premier League,3,3,3,Arsenal,80.0,7.0,Balanced,Possession,82,27.5,England
K. Volland,Kevin Volland,200610,81,81,29,174,85,25.5,70.0,71.0,84.0,79.0,80.0,46.0,84.0,"ST, CAM, CF",Left,Germany,Ligue 1,3,4,2,Monaco,77.0,8.0,Pressure On Heavy Touch,Possession,80,19.0,France
Deulofeu,Gerard Deulofeu Lázaro,202477,81,81,28,177,73,26.5,28.0,90.0,80.0,76.0,86.0,30.0,66.0,"CF, ST",Right,Spain,Serie A,4,4,3,Udinese,75.0,4.0,Balanced,Possession,82,31.0,Italy
M. Sabitzer,Marcel Sabitzer,204923,81,81,28,178,76,25.5,72.0,69.0,80.0,80.0,79.0,69.0,76.0,"CM, CDM, CAM",Right,Austria,Bundesliga,3,4,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,78,13.5,Germany
M. Sabitzer,Marcel Sabitzer,204923,81,81,28,178,76,25.5,72.0,69.0,80.0,80.0,79.0,69.0,76.0,"CM, CDM, CAM",Right,Austria,Bundesliga,3,4,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,78,13.5,Germany
J. Ward-Prowse,James Ward-Prowse,205569,81,81,27,173,66,27.5,69.0,59.0,73.0,86.0,77.0,67.0,73.0,CM,Right,England,Premier League,3,3,2,Southampton,75.0,4.0,Balanced,Balanced,78,15.0,England
E. Višća,Edin Višća,205678,81,81,32,172,63,20.5,48.0,87.0,78.0,78.0,82.0,47.0,63.0,"RM, RW",Right,Bosnia and Herzegovina,Super Lig,4,4,2,Trabzonspor,76.0,6.0,Balanced,Possession,79,13.0,Turkey
T. Savanier,Téji Tedy Savanier,205686,81,81,30,172,69,25.0,33.0,64.0,76.0,84.0,83.0,69.0,68.0,"CAM, CM",Right,France,Ligue 1,4,5,2,Montpellier,75.0,4.0,Balanced,Forward Runs,72,3.8,France
L. Shaw,Luke Shaw,205988,81,82,26,181,75,27.5,115.0,76.0,56.0,80.0,79.0,80.0,80.0,LB,Left,England,Premier League,3,2,2,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,79,14.0,England
M. Arnold,Maximilian Arnold,206511,81,82,28,184,74,25.0,55.0,65.0,80.0,78.0,78.0,77.0,75.0,"CDM, CM",Left,Germany,Bundesliga,3,2,2,VfL Wolfsburg,76.0,6.0,Press After Possession Loss,Possession,79,16.5,Germany
Kepa,Kepa Arrizabalaga Revuelta,206585,81,84,27,189,85,25.5,86.0,34.0,85.0,85.0,78.0,78.0,80.0,GK,Right,Spain,Premier League,1,4,2,Chelsea,84.0,9.0,Balanced,Possession,80,15.5,England
William Carvalho,William Silva de Carvalho,207566,81,81,30,187,79,21.5,30.0,43.0,66.0,78.0,75.0,76.0,83.0,"CDM, CM",Right,Portugal,La Liga,3,4,2,Real Betis,79.0,6.0,Press After Possession Loss,Possession,83,27.5,Spain
Lucas Vázquez,Lucas Vázquez Iglesias,208618,81,81,31,173,70,18.5,140.0,82.0,73.0,80.0,80.0,73.0,69.0,"RB, RW",Right,Spain,La Liga,4,4,2,Real Madrid,85.0,10.0,Balanced,Balanced,82,26.0,Spain
G. Laborde,Gaëtan Laborde,209519,81,81,28,181,78,26.5,61.0,74.0,81.0,76.0,79.0,40.0,79.0,ST,Left,France,Ligue 1,3,4,2,Nice,77.0,6.0,Press After Possession Loss,Possession,73,5.5,France
A. Rabiot,Adrien Rabiot,210008,81,81,27,191,80,27.5,110.0,76.0,73.0,78.0,79.0,78.0,81.0,"CM, LM",Left,France,Serie A,3,3,2,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,81,23.5,Italy
J. Hofmann,Jonas Hofmann,210324,81,81,29,176,73,25.5,40.0,73.0,76.0,80.0,80.0,64.0,72.0,"CAM, RM, LM",Right,Germany,Bundesliga,3,4,2,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,77,11.5,Germany
A. Romagnoli,Alessio Romagnoli,210413,81,81,27,185,75,24.0,55.0,69.0,40.0,55.0,67.0,84.0,77.0,CB,Left,Italy,Serie A,2,3,2,Lazio,79.0,7.0,Press After Possession Loss,Possession,79,16.0,Italy
N. Tagliafico,Nicolás Alejandro Tagliafico,211256,81,81,29,172,65,22.5,72.0,79.0,56.0,72.0,75.0,80.0,80.0,LB,Left,Argentina,Ligue 1,3,2,3,Olympique Lyonnais,78.0,8.0,Pressure On Heavy Touch,Possession,79,14.0,France
M. Flekken,Mark Flekken,211738,81,81,29,195,87,17.5,30.0,31.0,82.0,82.0,74.0,80.0,81.0,GK,Right,Netherlands,Bundesliga,1,4,1,SC Freiburg,76.0,4.0,Balanced,Possession,68,0.9,Germany
K. Demirbay,Kerem Demirbay,211748,81,81,28,183,75,25.5,65.0,69.0,76.0,81.0,82.0,71.0,72.0,"CM, CDM, CAM",Left,Germany,Bundesliga,4,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,80,19.5,Germany
O. Vlachodimos,Odisseas Vlachodimos,211990,81,83,28,188,81,22.0,15.0,43.0,67.0,67.0,78.0,78.0,84.0,GK,Right,Greece,Liga Portugal,1,3,1,Benfica,79.0,10.0,Press After Possession Loss,Balanced,70,1.7,Portugal
R. Andrich,Robert Andrich,212242,81,82,27,186,86,26.5,57.0,63.0,77.0,76.0,73.0,79.0,85.0,"CDM, CM",Right,Germany,Bundesliga,3,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,65,0.85,Germany
José Sá,José Pedro Malheiro de Sá,212442,81,82,29,192,84,20.0,74.0,52.0,73.0,73.0,78.0,79.0,83.0,GK,Right,Portugal,Premier League,1,2,1,Wolverhampton Wanderers,78.0,5.0,Balanced,Forward Runs,76,7.5,England
João Mário,João Mário Naval da Costa Eduardo,212814,81,81,29,179,73,25.5,20.0,70.0,72.0,82.0,83.0,69.0,70.0,"LM, CM",Right,Portugal,Liga Portugal,3,4,3,Benfica,79.0,10.0,Press After Possession Loss,Balanced,83,34.0,Portugal
J. Tah,Jonathan Tah,213331,81,83,26,195,94,28.0,57.0,67.0,37.0,59.0,61.0,82.0,85.0,CB,Right,Germany,Bundesliga,2,4,2,Bayer 04 Leverkusen,80.0,8.0,Press After Possession Loss,Balanced,82,26.0,Germany
Ricardo Horta,Ricardo Jorge da Luz Horta,213516,81,81,27,173,63,27.5,21.0,79.0,82.0,79.0,80.0,43.0,70.0,"CAM, CF, ST",Right,Portugal,Liga Portugal,3,3,1,Sporting Braga,76.0,8.0,Pressure On Heavy Touch,Direct Passing,76,11.0,Portugal
M. Uribe,Andrés Mateus Uribe Villa,214047,81,81,31,183,77,21.0,19.0,75.0,76.0,75.0,79.0,80.0,82.0,"CM, CDM",Right,Colombia,Liga Portugal,3,4,1,Porto,78.0,10.0,Press After Possession Loss,Balanced,73,4.6,Portugal
B. Bourigeaud,Benjamin Bourigeaud,214097,81,81,28,178,70,26.0,66.0,76.0,77.0,83.0,81.0,66.0,76.0,"RW, RM, LM",Right,France,Ligue 1,3,3,2,Rennes,77.0,7.0,Balanced,Balanced,70,2.5,France
J. Musso,Juan Agustín Musso,214979,81,82,28,191,93,20.5,47.0,44.0,73.0,73.0,78.0,82.0,82.0,GK,Right,Argentina,Serie A,1,3,1,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,69,1.1,Italy
Iñaki Williams,Iñaki Williams Arthuer,216201,81,81,28,186,80,26.5,40.0,94.0,78.0,72.0,78.0,38.0,83.0,ST,Right,Ghana,La Liga,4,2,2,Athletic Club,79.0,7.0,Balanced,Forward Runs,81,24.5,Spain
S. Fofana,Seko Fofana,216320,81,81,27,185,74,27.5,43.0,73.0,74.0,75.0,80.0,73.0,85.0,CM,Right,Côte d'Ivoire,Ligue 1,4,4,2,Lens,74.0,5.0,Pressure On Heavy Touch,Possession,75,11.0,France
A. Kramarić,Andrej Kramarić,216354,81,81,31,177,73,22.0,50.0,71.0,80.0,77.0,83.0,30.0,72.0,"CF, CAM",Right,Croatia,Bundesliga,4,4,3,TSG Hoffenheim,76.0,5.0,Balanced,Balanced,81,22.0,Germany
A. Saint-Maximin,Allan Saint-Maximin,216388,81,83,25,173,67,32.5,95.0,90.0,73.0,73.0,88.0,27.0,68.0,"LM, LW",Right,France,Premier League,5,4,2,Newcastle United,79.0,5.0,Pressure On Heavy Touch,Balanced,76,11.5,England
M. Politano,Matteo Politano,216409,81,81,28,171,67,26.0,72.0,83.0,77.0,78.0,84.0,42.0,55.0,"RW, RM",Left,Italy,Serie A,4,4,2,Napoli,80.0,9.0,Balanced,Forward Runs,77,12.0,Italy
S. Lobotka,Stanislav Lobotka,216435,81,81,27,170,64,27.5,64.0,71.0,68.0,79.0,81.0,73.0,70.0,"CM, CDM",Right,Slovakia,Serie A,3,4,2,Napoli,80.0,9.0,Balanced,Forward Runs,69,1.7,Italy
H. Lozano,Hirving Rodrigo Lozano Bahena,221992,81,81,26,175,70,28.0,69.0,93.0,76.0,72.0,82.0,41.0,62.0,RW,Right,Mexico,Serie A,4,3,3,Napoli,80.0,9.0,Balanced,Forward Runs,78,14.5,Italy
M. Pašalić,Mario Pašalić,223273,81,81,27,189,82,27.5,60.0,75.0,79.0,76.0,81.0,67.0,77.0,"CAM, CF, CM",Right,Croatia,Serie A,4,4,2,Atalanta,79.0,7.0,Press After Possession Loss,Forward Runs,76,11.5,Italy
L. Torreira,Lucas Torreira Di Pascua,223959,81,83,26,166,60,28.5,73.0,72.0,70.0,76.0,80.0,78.0,76.0,"CDM, CM",Right,Uruguay,Super Lig,3,3,2,Galatasaray,76.0,10.0,Pressure On Heavy Touch,Forward Runs,75,10.0,Turkey
K. Phillips,Kalvin Phillips,224081,81,84,26,178,72,30.5,120.0,66.0,65.0,77.0,76.0,79.0,80.0,"CDM, CM",Right,England,Premier League,3,3,2,Manchester City,85.0,10.0,Press After Possession Loss,Possession,69,1.5,England
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,224411,81,83,25,179,68,33.0,100.0,86.0,82.0,74.0,82.0,38.0,69.0,"ST, LW",Right,Portugal,Premier League,4,4,2,Wolverhampton Wanderers,78.0,5.0,Balanced,Forward Runs,74,8.5,England
J. Gomez,Joe Gomez,225100,81,86,25,188,77,34.0,100.0,82.0,30.0,68.0,70.0,80.0,77.0,"CB, RB",Right,England,Premier League,3,3,2,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,70,2.8,England
S. Bergwijn,Steven Charles Bergwijn,225953,81,84,24,178,78,35.0,22.0,86.0,79.0,75.0,83.0,42.0,71.0,"LW, RW",Right,Netherlands,Eredivisie,4,2,3,Ajax,78.0,10.0,Balanced,Possession,74,9.0,Netherlands
Aritz Elustondo,Aritz Elustondo Irribaria,226221,81,82,28,180,71,24.5,40.0,64.0,39.0,64.0,61.0,81.0,78.0,"CB, RB",Right,Spain,La Liga,2,3,1,Real Sociedad,78.0,7.0,Balanced,Possession,77,10.5,Spain
G. Lo Celso,Giovani Lo Celso,226226,81,84,26,177,68,33.5,100.0,71.0,75.0,83.0,84.0,68.0,72.0,"CAM, LM, ST",Left,Argentina,La Liga,4,3,1,Villarreal,80.0,8.0,Balanced,Balanced,74,10.0,Spain
K. Tierney,Kieran Tierney,226491,81,85,25,178,70,33.0,82.0,84.0,60.0,75.0,78.0,76.0,78.0,LB,Left,Scotland,Premier League,3,3,2,Arsenal,80.0,7.0,Balanced,Possession,74,8.5,England
B. Pavard,Benjamin Pavard,226851,81,83,26,186,81,29.5,63.0,68.0,56.0,72.0,71.0,83.0,78.0,"RB, CB",Right,France,Bundesliga,3,3,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,72,3.9,Germany
A. Zambo Anguissa,André-Franck Zambo Anguissa,227236,81,83,26,184,78,28.5,58.0,78.0,68.0,71.0,81.0,80.0,84.0,"CDM, CM",Right,Cameroon,Serie A,3,3,1,Napoli,80.0,9.0,Balanced,Forward Runs,71,2.9,Italy
R. Bentancur,Rodrigo Bentancur Colmán,227535,81,85,25,187,73,35.5,95.0,69.0,67.0,80.0,82.0,79.0,77.0,CM,Right,Uruguay,Premier League,4,4,2,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,69,2.3,England
M. Akanji,Manuel Obafemi Akanji,229237,81,82,26,187,91,26.5,120.0,77.0,48.0,70.0,74.0,83.0,78.0,CB,Right,Switzerland,Premier League,2,4,2,Manchester City,85.0,10.0,Press After Possession Loss,Possession,72,4.7,England
D. Zakaria,Denis Lemi Zakaria Lako Lado,229261,81,86,25,191,81,34.5,95.0,82.0,64.0,73.0,77.0,80.0,84.0,"CDM, CM",Right,Switzerland,Premier League,3,3,2,Chelsea,84.0,9.0,Balanced,Possession,72,7.0,England
Palhinha,João Maria Lobo Alves Palhinha Gonçalves,229391,81,83,26,190,85,28.5,66.0,59.0,65.0,70.0,72.0,82.0,89.0,"CDM, CM",Right,Portugal,Premier League,2,4,1,Fulham,76.0,2.0,Pressure On Heavy Touch,Balanced,76,10.0,England
G. Mancini,Gianluca Mancini,229582,81,83,26,190,77,28.0,68.0,67.0,45.0,50.0,59.0,81.0,87.0,CB,Right,Italy,Serie A,2,3,2,Roma,80.0,8.0,Balanced,Possession,60,0.27,Italy
Heberto Gaúcho,Juan Heberto Mestres de Mesquita,230225,81,81,26,181,82,24.5,43.0,71.0,61.0,57.0,63.0,82.0,80.0,"CB, CDM",Right,Brazil,Serie A,2,3,1,Atlético Mineiro,75.0,7.0,Pressure On Heavy Touch,Possession,0,0.0,Italy
